,Centaur,Cosmos,Ebony,Odyssey,Tokugawa,MeanDecreaseAccuracy,MeanDecreaseGini
party_voted_past,0.177622421,0.159048496,0.139375962,0.24798152,0.071551389,0.166599164,4841.58398
mvar4,0.012793567,0.008588467,0.032924893,0.156289738,0.01802493,0.048478261,1650.301656
mvar5,0.011694789,0.141741631,0.028220436,0.018120443,0.019203362,0.045721906,1487.505514
mvar1,0.145330827,0.012926634,0.028632397,0.011434915,0.011776823,0.044373452,1460.070036
mvar2,0.020019928,0.01669789,0.13952422,0.011097899,0.001116253,0.040511816,1404.804218
mvar9,0.004230086,0.008833827,0.02596097,0.113976259,0.0169865,0.03577585,1219.533552
mvar3,0.010626044,0.010200777,0.02006888,0.008248444,0.137630634,0.029015234,986.2668555
mvar10,0.008813702,0.078698993,0.012749595,0.007052371,0.009898645,0.024458478,792.638049
mvar7,0.010633842,0.008393204,0.09224383,0.005270953,0.00583374,0.025870141,784.9776344
mvar6,0.07890355,0.009059597,0.008182253,0.008981995,0.009141199,0.023955095,759.5574813
mvar8,0.004771629,0.005164322,0.010281387,0.00277166,0.080365405,0.015706613,565.5609249
mvar24,0.002279255,0.001184403,0.011248686,0.059447938,0.005855429,0.017009988,557.7851409
mvar23,0.003583413,0.003399672,0.011755974,0.002057958,0.073292646,0.014348713,542.9622837
mvar25,0.003679137,0.053310323,0.016093847,5.58E-05,0.003725829,0.016281943,532.1259727
mvar21,0.037473505,0.002439909,0.010666321,0.000189827,0.001477738,0.011150259,343.6235174
mvar17,0.001816725,0.001867436,0.018771488,0.001713633,0.001590952,0.005444822,161.5977225
mvar22,0.001716833,0.001589644,0.013345859,-8.84E-05,0.000488166,0.003630982,147.6184359
mvar15,0.002114745,0.011362993,0.001975985,0.001323922,0.000997194,0.003747102,111.3564301
mvar13,0.001667024,0.000370586,0.0018123,0.001461623,0.015009374,0.003150865,98.50733251
mvar18,0.000685194,0.000296316,0.002662425,0.001163697,0.009434071,0.002297756,74.6845618
mvar11,0.005862722,0.001153811,0.001343423,2.05E-06,0.000386144,0.00185269,62.57384333
mvar33,-1.25E-05,6.16E-06,3.92E-09,2.03E-06,1.73E-05,1.36E-06,40.46170918
mvar32,-4.34E-05,7.56E-05,0.000623185,1.34E-05,6.53E-05,0.000153439,35.60164574
mvar12,0.000738157,-0.000115798,0.002209802,0.000370134,-0.000221167,0.000660137,25.6432441
mvar14,0.000297635,0.000212615,0.000163606,0.001849036,0,0.000545611,15.99554452
mvar16,0.000674998,3.09E-06,0.000247568,0.000757006,-1.67E-06,0.000365747,12.42355912
mvar19,-1.35E-05,0.000405261,1.15E-05,0.000299802,0,0.000152757,9.380370571
mvar27,-4.22E-06,0.000107233,0.000643287,0,0,0.000162135,3.581001327
mvar20,2.60E-05,8.91E-05,0,8.16E-05,0,4.27E-05,0.916462966
mvar30,0,0,0,0,0,0,0.051822728
mvar31,0,0,0,-1.02E-06,0,-2.25E-07,0.042801448
mvar28,0,0,0,0,0,0,0.01729643
mvar26,0,0,0,0,0,0,0
mvar29,0,0,0,0,0,0,0
