mvar1,mvar2,mvar3,mvar4,mvar5,mvar6,mvar7,mvar8,mvar9,mvar10,mvar13,mvar14,mvar15,mvar17,mvar21,mvar22,mvar23,mvar24,mvar25,mvar26,mvar31,party_voted_pastCentaur,party_voted_pastCosmos,party_voted_pastEbony,party_voted_pastOdyssey,actual_vote
0,0,18,0,0,0,0,9,0,0,3,0,0,0,0,0,15,0,0,3,6,0,0,0,0,Tokugawa
2,6,0,2,0,2,5,0,2,0,0,0,0,1,5,10,0,15,0,3,5,0,0,1,0,Ebony
0,0,0,0,6,0,0,0,0,6,0,0,0,0,0,0,0,0,15,1,6,0,1,0,0,Cosmos
2,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,0,0,0,1,6,1,0,0,0,Centaur
9,2,3,0,2,1,0,1,0,0,0,0,0,1,10,15,15,0,7,4,7,1,0,0,0,Centaur
0,3,8,0,0,0,1,1,0,0,1,0,0,1,0,15,15,0,0,3,8,0,0,0,0,Tokugawa
0,3,1,0,4,0,1,0,0,0,0,0,1,0,0,5,0,0,3,2,7,0,1,0,0,Cosmos
0,0,2,0,3,0,0,1,0,0,0,0,1,0,0,0,15,0,15,1,6,0,1,0,0,Tokugawa
13,0,0,3,0,5,0,0,1,0,0,1,0,0,15,0,0,15,0,1,5,1,0,0,0,Centaur
8,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,0,0,0,4,6,0,0,1,0,Centaur
0,0,0,9,0,0,0,0,9,0,0,0,0,0,0,0,0,15,0,4,7,0,0,0,1,Odyssey
0,0,0,0,7,0,0,0,0,4,0,0,1,0,0,0,0,0,14,3,5,0,1,0,0,Cosmos
0,0,5,0,0,0,0,1,0,0,2,0,0,0,0,0,15,0,0,1,7,0,0,0,0,Tokugawa
0,0,0,11,0,0,0,0,6,0,0,2,0,0,0,0,0,15,0,3,8,0,0,0,1,Odyssey
13,0,0,0,0,11,0,0,0,0,0,0,0,0,15,0,0,0,0,4,7,1,0,0,0,Centaur
6,2,0,0,0,2,0,0,0,0,0,0,0,0,9,15,0,0,0,2,8,1,0,0,0,Tokugawa
3,3,0,0,0,1,1,0,0,0,0,0,0,0,15,13,0,0,0,3,7,0,0,1,0,Cosmos
3,2,0,0,1,3,1,0,0,1,0,0,0,1,15,15,0,0,15,4,7,1,0,0,0,Centaur
0,0,0,0,10,0,0,0,0,10,0,0,0,0,0,0,0,0,15,1,6,0,1,0,0,Cosmos
0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,13,3,7,0,1,0,0,Centaur
14,1,0,0,0,3,1,0,0,0,0,0,0,0,14,7,0,0,0,1,7,1,0,0,0,Centaur
0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,15,0,0,0,1,6,0,0,1,0,Odyssey
0,4,0,0,0,0,2,0,0,0,0,0,0,2,0,15,0,0,0,4,8,0,0,1,0,Ebony
0,1,0,8,0,0,1,0,4,0,0,1,0,0,0,15,0,15,0,4,5,0,0,0,1,Odyssey
0,10,0,1,0,0,3,0,0,0,0,0,0,1,0,15,0,15,0,3,7,0,0,1,0,Ebony
3,0,0,0,0,2,0,0,0,0,0,0,0,0,15,15,0,0,0,4,4,0,0,1,0,Centaur
0,6,0,10,0,0,0,0,3,0,0,1,0,3,0,15,0,15,0,1,7,0,0,0,1,Odyssey
2,1,0,4,1,1,1,0,4,1,0,0,0,0,0,15,0,15,15,4,6,0,1,0,0,Cosmos
1,0,0,11,0,1,0,0,3,0,0,4,0,0,0,0,0,15,15,4,8,0,0,0,1,Tokugawa
10,3,0,0,1,3,1,0,0,0,0,0,0,2,4,5,0,0,0,4,7,1,0,0,0,Cosmos
18,0,0,0,0,4,0,0,0,0,0,0,0,0,1,0,0,0,15,3,7,1,0,0,0,Centaur
1,0,0,8,0,1,0,0,7,0,0,0,0,0,15,0,0,15,0,4,7,0,0,0,1,Odyssey
3,2,0,2,0,3,2,0,2,0,0,0,0,0,0,0,0,15,0,3,5,1,0,0,0,Centaur
0,4,0,2,6,0,2,0,2,2,0,0,2,0,0,15,0,15,15,4,8,0,0,1,0,Cosmos
0,0,9,0,0,0,0,1,0,0,1,0,0,0,0,0,15,0,0,2,8,0,0,0,0,Tokugawa
1,0,0,2,0,1,0,0,2,0,0,0,0,0,0,0,0,15,15,1,8,1,0,0,0,Centaur
0,8,0,0,0,0,1,0,0,0,0,0,0,3,0,15,0,0,0,2,7,0,0,1,0,Ebony
4,5,0,0,0,0,1,0,0,0,0,0,0,1,15,3,0,0,0,4,9,0,0,1,0,Centaur
0,0,0,8,0,0,0,0,3,0,0,1,0,0,0,0,0,15,0,3,7,0,0,0,1,Odyssey
2,0,0,6,0,0,0,0,6,0,0,0,0,0,15,0,0,15,0,1,6,0,0,0,1,Odyssey
11,0,0,0,0,7,0,0,0,0,0,0,0,0,3,0,0,0,0,4,0,1,0,0,0,Centaur
0,3,0,0,20,0,3,0,0,14,0,0,3,0,0,15,0,0,15,3,6,0,1,0,0,Cosmos
0,4,0,0,0,0,4,0,0,0,0,0,0,0,0,15,0,0,0,4,6,0,0,1,0,Ebony
0,11,0,0,0,0,8,0,0,0,0,0,0,2,0,9,0,0,0,4,5,0,0,1,0,Ebony
19,4,0,19,18,5,2,0,14,14,0,2,2,2,0,0,0,15,0,1,6,0,1,0,0,Cosmos
0,4,0,0,0,0,2,0,0,0,0,0,0,0,0,15,0,0,0,1,6,0,0,1,0,Ebony
0,4,13,0,1,0,1,3,0,1,2,0,0,1,0,15,15,0,15,3,4,0,0,0,0,Tokugawa
0,10,0,0,0,0,2,0,0,0,0,0,0,1,0,15,0,0,0,2,9,0,0,1,0,Ebony
0,0,0,0,8,0,0,0,0,4,0,0,2,0,15,0,0,0,15,3,6,0,1,0,0,Cosmos
0,0,6,0,0,0,0,3,0,0,0,0,0,0,0,15,11,0,0,4,6,0,0,0,0,Tokugawa
3,0,0,2,0,0,0,0,1,0,0,0,0,0,15,0,0,15,0,3,6,1,0,0,0,Tokugawa
0,6,0,0,0,0,3,0,0,0,0,0,0,1,0,15,0,0,0,3,5,0,0,1,0,Ebony
0,0,5,4,0,0,0,2,0,0,0,2,0,0,0,0,15,15,0,1,7,0,0,0,1,Tokugawa
